x,y,z,u,v,w,p,speed
0,0,0,6.21001e-37,-5.75427e-37,-8.59944e-38,-0.107751,8.50972e-37
0.0769231,0,0,2.92655e-36,-1.2878e-36,-5.90715e-37,-0.103665,3.25147e-36
0.153846,0,0,4.40804e-36,-3.73057e-36,-2.63313e-36,-0.0989376,6.34676e-36
0.230769,0,0,5.46218e-36,-6.90362e-36,-5.38685e-36,-0.104634,1.03205e-35
0.307692,0,0,6.49252e-36,-1.1062e-35,-8.95617e-36,-0.128178,1.5644e-35
0.384615,0,0,7.47769e-36,-1.68773e-35,-1.38433e-35,-0.176692,2.30737e-35
0.461538,0,0,8.07043e-36,-2.51722e-35,-2.06252e-35,-0.260339,3.35286e-35
0.538462,0,0,8.61879e-36,-3.67365e-35,-2.98079e-35,-0.39539,4.80871e-35
0.615385,0,0,8.19774e-37,-6.41116e-35,-5.25598e-35,-0.590814,8.29066e-35
0.692308,0,0,-1.22789e-35,-8.34343e-35,-6.44087e-35,-0.956523,1.06116e-34
0.769231,0,0,4.02517e-36,-1.05553e-34,-8.39712e-35,-1.55047,1.3494e-34
0.846154,0,0,-6.64132e-34,-7.76088e-34,-7.25306e-34,-1.6654,1.25278e-33
0.923077,0,0,-6.63652e-34,2.60396e-34,1.2757e-33,-9.34819,1.46138e-33
1,0,0,-8.52443e-35,9,-2.87803e-34,-8.00839,9
0,0.0769231,0,1.23521e-36,-2.64081e-36,1.45431e-37,-0.111583,2.91904e-36
0.0769231,0.0769231,0,1.16878e-35,-1.04042e-35,-1.06972e-36,-0.10722,1.56843e-35
0.153846,0.0769231,0,3.45736e-35,-1.8252e-35,-4.68032e-36,-0.103956,3.93748e-35
0.230769,0.0769231,0,7.05473e-35,-2.59885e-35,-7.58706e-36,-0.111645,7.55638e-35
0.307692,0.0769231,0,1.20357e-34,-3.51775e-35,-1.02743e-35,-0.137695,1.25812e-34
0.384615,0.0769231,0,1.86422e-34,-4.75682e-35,-1.30625e-35,-0.189735,1.92838e-34
0.461538,0.0769231,0,2.72977e-34,-6.52226e-35,-1.58537e-35,-0.278359,2.81108e-34
0.538462,0.0769231,0,3.85889e-34,-9.10819e-35,-1.95268e-35,-0.418242,3.96973e-34
0.615385,0.0769231,0,5.32486e-34,-1.29982e-34,-2.14135e-35,-0.637141,5.48539e-34
0.692308,0.0769231,0,7.20771e-34,-1.87101e-34,-8.90859e-36,-0.995379,7.44713e-34
0.769231,0.0769231,0,9.31312e-34,-2.41987e-34,-6.07274e-35,-1.47974,9.64152e-34
0.846154,0.0769231,0,1.0839e-33,-1.43668e-34,2.20088e-34,-2.62669,1.11531e-33
0.923077,0.0769231,0,5.66697e-34,-1.86526e-34,4.44434e-34,-4.45535,7.43949e-34
1,0.0769231,0,-3.49719e-34,9,-4.53915e-34,-4.41887,9
0,0.153846,0,3.08772e-36,-3.59512e-36,1.70547e-36,-0.116313,5.03662e-36
0.0769231,0.153846,0,1.72447e-35,-2.94651e-35,1.21107e-36,-0.110636,3.4162e-35
0.153846,0.153846,0,4.80999e-35,-4.83493e-35,-2.07101e-36,-0.107971,6.82316e-35
0.230769,0.153846,0,9.42013e-35,-6.70675e-35,-4.02839e-36,-0.117432,1.15707e-34
0.307692,0.153846,0,1.56107e-34,-8.90025e-35,-5.37262e-36,-0.145082,1.79777e-34
0.384615,0.153846,0,2.35711e-34,-1.17156e-34,-6.28738e-36,-0.197645,2.63296e-34
0.461538,0.153846,0,3.3535e-34,-1.54256e-34,-6.70012e-36,-0.28403,3.69187e-34
0.538462,0.153846,0,4.56123e-34,-2.02717e-34,-6.0619e-36,-0.416945,4.99178e-34
0.615385,0.153846,0,5.94334e-34,-2.63006e-34,-1.96937e-36,-0.616201,6.4993e-34
0.692308,0.153846,0,7.31331e-34,-3.23065e-34,1.99909e-36,-0.90075,7.99512e-34
0.769231,0.153846,0,8.10709e-34,-3.14271e-34,3.02842e-35,-1.31595,8.70019e-34
0.846154,0.153846,0,6.80555e-34,1.26998e-34,8.93415e-35,-1.89417,6.98044e-34
0.923077,0.153846,0,2.54674e-34,5.39958e-34,2.50361e-35,-2.29209,5.97528e-34
1,0.153846,0,9.74745e-35,9,-4.43445e-34,-1.69931,9
0,0.230769,0,4.58537e-36,-3.55402e-36,3.25578e-36,-0.111405,6.65258e-36
0.0769231,0.230769,0,1.80775e-35,-5.40734e-35,2.41914e-36,-0.105485,5.70665e-35
0.153846,0.230769,0,4.93312e-35,-8.49738e-35,-3.25988e-37,-0.102895,9.82559e-35
0.230769,0.230769,0,9.44436e-35,-1.15152e-34,-1.44273e-36,-0.112222,1.48935e-34
